date, pm25, pm10, o3, no2, so2, co
2024/1/30, 40, 18, 20, 17, , 
2024/1/31, 36, 14, 21, 13, , 
2024/2/1, 26, 13, 18, 13, , 
2024/2/2, 31, 9, 21, 8, , 
2024/2/3, 12, 9, 23, 6, , 
2024/2/4, 17, 26, 23, 6, , 
2024/2/5, 44, 18, 21, 6, , 
2024/2/6, 36, 13, 25, 7, , 
2024/2/7, 28, 20, 22, 7, , 
2024/2/8, 48, 12, 23, 6, , 
2024/2/9, 27, 12, 21, 13, , 
2024/2/10, 26, 12, 22, 6, , 
2024/2/11, 21, 17, 21, 16, , 
2024/2/12, 28, 17, 23, 17, , 
2024/2/13, 35, 8, 19, 10, , 
2024/2/14, 17, , 14, 17, , 
2024/2/15, 4, 14, 28, 8, , 
2024/2/16, 36, 16, 30, 9, , 
2024/2/17, 33, 11, 21, 8, , 
2024/2/18, 27, 14, 23, 8, , 
2024/2/19, 24, 19, 20, 10, , 
2024/2/20, 41, 15, 22, 10, , 
2024/2/21, 30, 6, 32, 5, , 
2024/2/22, 10, 10, 28, 7, , 
2024/2/23, 15, 8, 27, 6, , 
2024/2/24, 24, 7, 24, 7, , 
2024/2/25, 17, 8, 19, 12, , 
2024/2/26, 24, 18, 21, 12, , 
2024/2/27, 47, 16, 24, 15, , 
2024/2/28, 31, 7, 29, 10, , 
2024/2/29, 20, 8, 30, 7, , 
2024/3/1, 20, 8, 27, 12, , 
2024/3/2, 25, 14, 22, 14, , 
2024/3/3, 47, 17, 32, 18, , 
2024/3/4, 35, 10, 28, 8, , 
2024/3/5, 16, 16, 18, 16, , 
2024/3/6, 43, 23, 23, 16, , 
2024/3/7, 57, 22, 28, 10, , 
2024/3/8, 56, 9, 25, 11, , 
2024/3/9, 20, 6, 25, 10, , 
2024/3/10, 20, 13, 23, 11, , 
2024/3/11, 37, 13, 19, 9, , 
2024/3/12, 36, 9, 20, 9, , 
2024/3/13, 19, 14, 25, 12, , 
2024/3/14, 22, 10, 29, 5, , 
2024/3/15, 19, 8, 29, 6, , 
2024/3/16, 18, 13, 17, 13, , 
2024/3/17, 34, 14, 27, 11, , 
2024/3/18, 29, 23, 29, 19, , 
2024/3/19, 44, 32, 29, 25, , 
2024/3/20, 56, 25, 28, 19, , 
2024/3/21, 53, 25, 26, 15, , 
2024/3/22, 55, 11, 31, 4, , 
2024/3/23, 20, 11, 30, 5, , 
2024/3/24, 24, 15, 30, 13, , 
2024/3/25, 32, 13, 29, 13, , 
2024/3/26, 33, 9, 31, 6, , 
2024/3/27, 19, 11, 34, 6, , 
2024/3/28, 16, 8, 34, 8, , 
2024/3/29, 17, 7, 31, 9, , 
2024/3/30, 19, 10, 29, 10, , 
2024/3/31, 19, 8, 34, 6, , 
2023/10/1, 49, 28, 34, 21, , 
2023/10/2, 59, 15, 30, 8, , 
